,abstract,lead_paragraph,headline,keywords,sentiment
1488,"Behind the scenes of “Mister Rogers’ Neighborhood,” McFarland, a child psychologist, helped shape the groundbreaking show.",Overlooked is a series of obituaries about remarkable people whose deaths were given little notice by The Times.,"Overlooked No More: Margaret McFarland, Mentor to Mister Rogers","['McFarland, Margaret', 'Children and Childhood', 'Psychology and Psychologists', 'Biographical Information', 'Television', 'Rogers, Fred', ""Mister Rogers' Neighborhood (TV Program)""]",0.1748846731877218
1489,"To Save and Project, the annual MoMA series, unearths forgotten work by Australian women, a French auteur and even George A. Romero.","Just because movies spent more than a century as physical objects — as strips of film, not the digital files of the 21st century — doesn’t mean they can’t disappear. And their loss, to decomposition or to memory, inevitably leaves gaps in knowledge.",Changing Your Sense Of Cinematic History,"['Movies', 'Museum of Modern Art', 'Restoration and Renovation', 'Romero, George A']",0.1790940173010728
1490,"Millions of animals, many found on no other continent, may have perished, and Australians are taking care of survivors.","WATERHOLES, Australia — The convoy of vehicles fleeing a raging inferno in the forest of southeastern Australia ferried a copious cargo: 11 koalas, 15 kangaroos, five chickens, two possums, two dogs and a lorikeet.",The Rush to Save Joeys and More Amid Australia’s Inferno,"['Wildfires', 'ANIMALS', 'Australia', 'Deaths (Fatalities)', 'Environment', 'Victoria (Australia)', 'New South Wales (Australia)', 'Fires and Firefighters', 'Animal Abuse, Rights and Welfare', 'Rescues']",-0.27123076112728634
1491,"Critics see a concerted effort to shift blame, protect conservative leaders and divert attention from climate change.","WOMBEYAN CAVES, Australia — Deep in the burning forests south of Sydney this week, volunteer firefighters were clearing a track through the woods, hoping to hold back a nearby blaze, when one of them shouted over the crunching of bulldozers.",Murdoch Adds Fuel to Debate on Australia’s Fires,"['News and News Media', 'Wildfires', 'Murdoch, Rupert', 'Morrison, Scott (1968- )', 'Australia', 'News Corporation', 'Rumors and Misinformation', 'Australian, The (Newspaper)', 'Global Warming']",0.09707620683662624
1492,Some scientists hope genomic technologies will lead to improved antivenom.,"Scientists have sequenced the genome of one of the deadliest snakes in the world, the Indian cobra, and have taken a big step toward developing new and better treatments for their bites.",Venomous Research: Fighting Cobra Bites By Getting a Grip On Its Genome,"['Snakes', 'Genetic Engineering', 'Hazardous and Toxic Substances', 'Deaths (Fatalities)', 'Research', 'Nature Genetics (Journal)', 'Seshagiri, Somasekar', 'your-feed-science']",-0.4804807294727485
1493,"In his address from the White House, the president was misleading in describing the nuclear deal negotiated by the Obama administration.","President Trump, responding during a White House address on Wednesday to the missile strikes by Iran, assailed the nuclear agreement reached by his predecessor and praised American military might. The 10-minute address contained numerous inaccuracies and claims that lacked evidence. Here’s a fact check. ",References In Address To 2013 Deal Had Holes,"['United States International Relations', 'Nuclear Weapons', 'Defense and Military Forces', 'United States Politics and Government', 'Trump, Donald J', 'Obama, Barack', 'Iran', 'Middle East']",0.13862045005261814
1494,"With Ken Jennings and James Holzhauer tied at one match apiece, one had a chance to get close to the title Thursday night.",Who won Game 4 of Greatest of All Time on “Jeopardy!”?,‘Jeopardy!’ Greats Vie For ‘Greatest’,"['Television', 'Contests and Prizes', 'Jeopardy! (TV Program)', 'Holzhauer, James', 'Rutter, Brad', 'Jennings, Ken', 'ABC INC']",0.4445871686770645
1497,"In Beirut, the fugitive ex-Nissan chairman made his first public comments since he fled Japan at news conference and in an interview with The New York Times.","BEIRUT, Lebanon — It was part corporate presentation, part legal defense, part rambling tirade.",‘I Did Not Escape Justice. I Fled Injustice.’,"['Automobiles', 'Nissan Motor Co', 'Ghosn, Carlos', 'Beirut (Lebanon)']",-0.041992877227915615
1499,"A study examined a popular approach that coordinated care for the most expensive patients, and found that the project did not reduce hospital admissions.","In the quest to reduce health care spending in the United States, the idea held incredible promise: By addressing the medical and social needs of the most expensive patients, you could keep them out of the hospital. ",Helping the Most Expensive Patients Fails to Keep Them Out of the Hospital,"['Health Insurance and Managed Care', 'Hospitals', 'Homeless Persons', 'Drug Abuse and Traffic', 'Addiction (Psychology)', 'Research', 'Camden (NJ)', 'Brenner, Jeffrey', 'Camden Coalition of Healthcare Providers', 'Naylor, Mary D', 'Finkelstein, Amy Nadya', 'Massachusetts Institute of Technology', 'New England Journal of Medicine', 'your-feed-healthcare']",0.1449957318344584
1500,"In Serena Burdick’s new novel, a home for wayward girls looms large.",The Girls With No NamesBy Serena Burdick,Sister Act,"['Books and Literature', 'The Girls with No Names (Book)', 'Burdick, Serena']",0.4459892846027104
1503,"Aging stadiums are usually demolished, but dormant Meadowlands Arena in New Jersey has become a soundstage for a prime-time series.","EAST RUTHERFORD, N.J. — Meadowlands Arena, once the home of professional basketball and hockey showdowns, is staging an atypical second act.","For Its Next Act, Working Without Nets (or Devils)","['Stadiums and Arenas', 'Real Estate (Commercial)', 'American Dream Meadowlands (East Rutherford, NJ)', 'Izod Center (East Rutherford, NJ)']",-0.13512636857879617
1504,Marcia Chatelain’s “Franchise” is about the history of the increasingly intricate ties between the fast-food behemoth and black communities.,"Say the name McDonald’s, and what comes to mind? Tasty hamburgers or hardened arteries? Entry-level jobs or dead-end McJobs? Responsive community outreach or mercenary corporate power?",King’s Dream. Kroc’s Dream.,"['Books and Literature', 'Franchise: The Golden Arches in Black America (Book)', 'Chatelain, Marcia', ""McDonald's Corporation"", 'Fast Food Industry', 'Black People', 'Civil Rights Movement (1954-68)', 'Corporate Social Responsibility']",0.613983674792373
1505,The state of chaos that followed the 2017 storm robbed Puerto Ricans of any belief that their leaders could manage another natural disaster.,"PONCE, P.R. — The auditorium where Lenda Torres Rodríguez and some of her neighbors sought refuge on Tuesday after the latest in a series of earthquakes convulsed Puerto Rico seemed almost as unreliable as the houses they had abandoned. Every time a new aftershock hit, the windows made ominous cracking sounds. ",Temblors Jolt Puerto Ricans Torn by Storm,"['Earthquakes', 'Puerto Rico', 'Puerto Rico Electric Power Authority', 'Hurricane Maria (2017)', 'Power Failures and Blackouts']",-0.2266161956249101
1506,"A day after Iranian missiles fell on bases housing American troops in Iraq, the president said that no Americans were harmed and that Iran now “appears to be standing down.”",WASHINGTON — President Trump backed away from further military action against Iran and called for renewed diplomacy on Wednesday as the bristling confrontation of the past six days eased in the aftermath of an Iranian missile strike that seemed intended to save face rather than inflict casualties.,"U.S. and Iranians Lower Tensions, at Least For Now","['Trump, Donald J', 'Iran', 'Iraq', 'Suleimani, Qassim', 'Middle East', 'United States Defense and Military Forces', 'United States International Relations', 'Targeted Killings', 'Defense Department']",-0.2510325116121755
1507,"In an internal memo, Andrew Bosworth said he “desperately” wanted the president to lose. But, he said, the company should avoid hurting Mr. Trump’s campaign.","SAN FRANCISCO — Since the 2016 election, when Russian trolls and a tsunami of misinformation turned social media into a partisan battlefield, Facebook has wrestled with the role it played in President Trump’s victory. ",Agonizing At Facebook Over Trump,"['Facebook Inc', 'Bosworth, Andrew (1982- )', 'Presidential Election of 2020', 'Trump, Donald J', 'Zuckerberg, Mark E', 'News and News Media', 'Online Advertising', 'Political Advertising']",-0.0011449669909401605
1509,"Thousands of Puerto Ricans slept outside, fearing new tremors, after the 6.4-magnitude earthquake that struck the island Tuesday.","GUÁNICA, P.R. — On what would have been Jeremy Lugo’s first day of seventh grade after moving back to Puerto Rico from Florida, his middle school collapsed.","Families Huddle in Dark Across a Ravaged Island, Wary of the Aftershocks","['Electric Light and Power', 'Earthquakes', 'Puerto Rico Electric Power Authority', 'Vazquez Garced, Wanda', 'Puerto Rico', 'Power Failures and Blackouts', 'Buildings (Structures)', 'ACCIDENTS AND SAFETY']",0.09113552434410058
1512,He was crucial to the spread of the protocols that underpin today’s internet (and gave Queen Elizabeth her own email address).,"Peter Kirstein, a British computer scientist who was widely recognized as the father of the European internet, died on Wednesday at his home in London. He was 86. ","Peter Kirstein, 86, Builder Of the European Internet","['Kirstein, Peter (1933-2020)', 'Deaths (Obituaries)', 'Computers and the Internet']",-0.005407371997734161
1513,"The S&P 500 added to a nearly 30 percent rally in 2019, thanks to a combination of low interest rates and receding economic risks.","Stocks in the United States leapt to a record on Thursday, as investors looked past recent chaos in the Middle East and saw a rosy backdrop for the market.",Markets Look Past Global Tumult and Hit Record Highs,"['Economic Conditions and Trends', 'Interest Rates', 'Stocks and Bonds', ""Standard & Poor's 500-Stock Index"", 'International Trade and World Market']",0.12648308002964664
1514,"Previews, openings and some last-chance picks.",Our guide to plays and musicals coming to New York stages and a few last-chance picks of shows that are about to close. Our reviews of open shows are at nytimes.com/reviews/theater.,Theater,"['Theater', 'New York City']",0.024988786304747955
1515,Suzanne Jackson’s non-canvas compositions; Mike Kelley’s ode to painting.,"Suzanne Jackson has had a storied career as a dancer, choreographer, and set designer, as well as a fine artist. But in her New York gallery solo debut, “News!” at Ortuzar Projects, she’s showing paintings: the conventional kind, and her own exploded version.",Galleries,"['Art', 'Kelley, Mike (1954-2012)', 'Hauser & Wirth', 'Jackson, Suzanne (1944- )', 'Ortuzar Projects (Manhattan, NY)', 'Manhattan (NYC)']",0.01825254467394218
1517,Legislation to help the children of service members is stalled in committee.,"By the time most military children complete secondary school, they will have switched schools up to nine times. These frequent changes between schools of strikingly varying quality trouble military children both socially and academically. Though Congress has written legislation that would ease transitions for military children and add flexibility to their parents’ choices for education, the bill, the Education Savings Accounts for Military Families Act of 2019, has sat in committee since March.",The School Burden Military Kids Face,"['United States Defense and Military Forces', 'Private and Sectarian Schools', 'Vouchers', 'Education (K-12)', 'Law and Legislation']",0.23264391290995148
1518,One policy proposal has defined this Democratic race. It’s time to move on.,"With strong support among the Democratic Party’s base, “Medicare for all” has emerged as a test of progressive bona fides in the race for the Democratic presidential nomination.",Stop Fighting About ‘Medicare for All’,"['Health Insurance and Managed Care', 'Debates (Political)', 'Medicare', 'United States Politics and Government', 'Primaries and Caucuses', 'Presidential Election of 2020', 'Democratic Party', 'Biden, Joseph R Jr', 'Warren, Elizabeth', 'Yang, Andrew (1975- )', 'United States']",-0.2862622659804866
1521,"Not long after her killing, someone left a racist message on my office phone at Barnard, where she had been a student. Why?","I wasn’t expecting to get any messages on my answering machine at Barnard College on Christmas Day. But there was one. So I hit play, thinking it might be greetings from an old friend, or even a stranger, wishing to share the good will of the season.",The Worst Thing I Ever Heard,"['ANTI-SEMITISM', 'Race and Ethnicity', 'Discrimination', 'Barnard College', 'Majors, Tessa (d 2019)', 'Murders, Attempted Murders and Homicides', 'Homosexuality and Bisexuality']",-0.015327785928743884
1523,"There are so many places in the world, and only 52 spots. How do we choose? (Do you know all the synonyms for “argue”?)",52 Places to Go in 2020 is here. Read the full list now.,How This List Came Together,"['Travel and Vacations', 'Global Warming', 'Eco-Tourism', 'AIRLINES AND AIRPLANES', 'Hotels and Travel Lodgings', 'Cruises']",0.11828226043693928
1528,Charli Penn and Gibran Watkins have learned that love means giving each other space to be vulnerable and to heal.,"Because marriage is an ever-evolving experience, we constantly shift, change and, in some cases, start over. In It’s No Secret, couples share thoughts about commitment and tell us what they have learned along the way, revealing their secret to making it work. (Answers are edited for context and space.)", ‘It’s Harder to Fight When You’re Naked’,"['Marriages', 'Love (Emotion)', 'Dating and Relationships']",-0.03168668030568675
1529,"The maverick artist, the subject of two exhibitions, is known for his grueling street performances, but his real enchantment lies in something weirder.","Artists often adopt personas in their work — master painter, trickster, savant — and you can see this in the 13 performances of the maverick artist William Pope.L at the Museum of Modern Art. And he uses the characters in his show, “member: Pope.L, 1978-2001,” to critique race and class in the United States.",Not Just Crawling Across the Art World,"['Art', 'Race and Ethnicity', 'Pope.L, William (1955- )', 'Museum of Modern Art', 'Whitney Museum of American Art', 'Public Art Fund']",0.40332621033836946
1530,"A quake with a preliminary magnitude of 6.0 struck the island on Saturday, after a week of seismic shocks.",Puerto Rico has been trembling for more than a week.,A Reminder  Of a Danger Ever-Present But Unseen,"['Puerto Rico', 'Caribbean Area', 'Earthquakes', 'Geology', 'Tidal Waves and Tsunamis']",-0.10779363522157996
1531,A model presented by Hyundai and Uber at the Consumer Electronics Show is said to hold the promise of aerial ride sharing at 180 miles an hour.,Curtiss Autoplane. Fulton Airphibian. Taylor Aerocar.,"Hail a Flying Car? Soon, Hyundai and Uber Say","['Flying Cars', 'Uber Technologies Inc', 'Hyundai Motor Co', 'International Consumer Electronics Show', 'Design', 'Car-Pooling and Ride-Sharing', 'Car Services and Livery Cabs']",0.027930502312879302
1532,Vehicles from Japan and Britain strike a chord with collectors looking for a different kind of wow factor.,"Drive-throughs are difficult, and tollbooths are worse. But for people who own right-hand-drive cars in the United States, the infrequent headaches are the price they pay for a unique kind of fun.",A Driver’s Seat on the Right Side of Fun,"['Automobiles', 'International Trade and World Market', 'Antique and Classic Cars']",0.520000625813069
1533,"The vulnerabilities, which the app says it has fixed, could have let attackers manipulate content and extract personal data.","TEL AVIV — TikTok, the smartphone app beloved by teenagers and used by hundreds of millions of people around the world, had serious vulnerabilities that would have allowed hackers to manipulate user data and reveal personal information, according to research published Wednesday by Check Point, a cybersecurity company in Israel. ",Security Company Found TikTok Was Vulnerable to Hacking,"['TikTok (ByteDance)', 'Mobile Applications', 'Computer Security', 'Cyberattacks and Hackers', 'China', 'Video Recordings, Downloads and Streaming', 'Check Point Software Technologies Ltd', 'Social Media']",0.01821520211349585
1534,The 2019 show ran without a host after Kevin Hart stepped down and a series of mini-hosts replaced him.,Audiences across the globe will tune in to the 92nd Oscars on Feb. 9 to see which celebrities are wearing over-the-top designer creations and to see which film will earn the top prize. ,Not on the Oscars Shortlist This Year: A Host,"['ACADEMY AWARDS (OSCARS)', 'Television', 'ABC INC']",0.09041478856434108
1535,A new genetic engineering technology could help eliminate malaria and stave off extinctions — if humanity decides to unleash it.,"One early summer evening in 2018, the biologist Anthony James drove from his office at the University of California, Irvine, to the headquarters of the Creative Artists Agency, a sleek glass-and-steel high-rise in Los Angeles. There, roughly 200 writers, directors and producers — many of them involved in the making of science-and-technology thrillers — were gathered for an event called Science Speed Dating, where James and other scientists would explain their work. The sessions were organized, James told me, “in hopes of getting the facts at least somewhat straight.”",Unnatural Selection,"['AFRICA', 'Mosquitoes', 'Genetic Engineering', 'Malaria', 'Genetically Modified Food (GMOs)', 'Genetics and Heredity']",0.1476543782092359
1536,Ada Calhoun’s “Why We Can’t Sleep” documents the parameters of the “new midlife crisis” as women struggle with outsize demands and expectations.,WHY WE CAN’T SLEEPWomen’s New Midlife CrisisBy Ada Calhoun,The Gen X Factor,"['Books and Literature', ""Why We Can't Sleep: Women's New Midlife Crisis (Book)"", 'Calhoun, Ada (Author)']",-0.004103021872135828
1537,"Near the country’s southern coast, where Montevideo and Punta del Este lure tourists, prices remain attractive despite steady increases.","This two bedroom, two-bathroom house sits on 12.4 acres outside the town of Pueblo Edén, Uruguay, about 25 miles north of the coastal resort of Punta del Este and 80 miles east of the nation’s capital, Montevideo. ",Car Wheels on a Gravel Road Lead to Exhilarating Views,"['Real Estate and Housing (Residential)', 'Uruguay', 'Montevideo (Uruguay)', 'Punta del Este (Uruguay)']",0.2998754791146956
1538,"Harder than you might think, given all the options available. Here’s how to navigate the various decisions you’ll have to make.","If you have flooring you don’t like — whether it’s carpet, vinyl or unappealing wood — it can feel like there’s no way to escape it, no matter how many rugs you pile on top. But if you have floors you love, walking across them can be a daily pleasure.",How Hard Can It Be to Choose a Hardwood Floor?,"['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'Home Repairs and Improvements', 'Restoration and Renovation', 'Floors and Flooring']",-0.04566193747768507
1539,Suggested reading from critics and editors at The New York Times.,"How should one live? It’s a brief, potent and timeless question, explored in a few of this week’s recommended books. In her debut memoir, “Uncanny Valley,” Anna Wiener recounts leaving her low-paying publishing job for Silicon Valley, and the ensuing optimism and disenchantment she experienced. In the darkly comic novel “The Heap,” Sean Adams explores what happens to survivors after a skyscraping utopia collapses. Another collapse — this time of a steeple — occurs in Sylvia Townsend Warner’s “The Corner That Held Them,” a novel that immerses readers in the daily life of a 14th-century English convent.",Staff Picks From the Book Review,"['Books and Literature', '10 Minutes 38 Seconds in this Strange World (Book)', ""A Bookshop in Berlin: The Rediscovered Memoir of One Woman's Harrowing Escape from the Nazis (Book)"", 'A Dream Come True (Book)', 'Catfishing on CatNet (Book)', ""Don't Believe a Word (Book)"", ""The Bishop's Bedroom (Book)"", 'The Corner That Held Them (Book)', 'The Gimmicks (Book)', 'The Heap: A Novel (Book)', 'Trump and His Generals: The Cost of Chaos (Book)', 'Uncanny Valley: A Memoir (Book)']",0.17868737832997028
1541,A “branded narrative” from Renault pushes the boundary of just how far an ad can go to avoid selling its product.,"I recently resolved to kick one of my least-favorite habits: crying during movie trailers. I can weep without shame watching movies themselves. But trailer tears are different — not the effect of an emotionally destabilizing encounter with art but, rather, the tacky end result of bluntly Pavlovian marketing machinery, the component parts of which remain clear to me even as my gaze grows watery. Professionally expressive faces projected across field-of-vision-encompassing screens, uttering heart-rending phonemes rid of all meaningful context, accompanied by huge swells of music? I am this easily played, I tell myself, somehow rolling my eyes while simultaneously dabbing at them with the back of my hand, in case anyone nearby might think I’m that moved by the prospect of seeing, I don’t know, “Dolittle.” The problem, at bottom, is one of category confusion. With a tear-jerker trailer, we’re tricked into mistaking a piece of advertising for a piece of art — a distinction it’s possible to complicate but never, if the word “art” is to mean anything, undo.",Car Wash,"['Online Advertising', 'ADVERTISING AND MARKETING', 'Computers and the Internet']",0.014488463272561522
1542,Should our neighbors to the north be compelled to eat with their hands?,"Paul writes: I would like to file suit against the city of Montreal. They eat pizza with a knife and fork there. A knife and fork, Your Honor! I’d like you to order Montreal to eat pizza properly, with their hands.",Eating Pizza With a Knife and Fork,"['Pizza', 'Montreal (Quebec)', 'Comedy and Humor']",0.20127305199144707
1543,A solution for digestive distress — and the more existential kind as well.,"A few months ago, on a Megabus ride into New York from Philadelphia, my assigned seat was the front row of the bus’s upper level, providing an overwhelming panoramic view of the pavement ahead of us — like one of those 3-D IMAX experiences, except instead of being about volcanoes or sharks, it was about the slow crawl along I-95 into the dense web of Manhattan. Like most IMAX movies, this one made me nauseated about five minutes in. Rifling through my backpack for some headphones to distract myself, I found, instead, a small white pack of ginger gum that I bought on a whim months before.",Ginger Gum,"['Ginger', 'Senses and Sensation', 'Nausea']",0.15157892022497108
1545,"In his address from the White House, the president was misleading in describing the nuclear deal negotiated by the Obama administration.","President Trump, responding during a White House address on Wednesday to the missile strikes by Iran, assailed the nuclear agreement reached by his predecessor and praised American military might. The 10-minute address contained numerous inaccuracies and claims that lacked evidence. Here’s a fact check. ",References In Address To 2013 Deal Had Holes,"['United States International Relations', 'Nuclear Weapons', 'Defense and Military Forces', 'United States Politics and Government', 'Trump, Donald J', 'Obama, Barack', 'Iran', 'Middle East']",0.13862045005261814
1547,Recent commercial real estate transactions in New York.,$6.6 MILLION,Transactions,"['Real Estate and Housing (Residential)', 'Real Estate (Commercial)', 'East Williamsburg (Brooklyn, NY)', 'Greenpoint (Brooklyn, NY)', 'Hunts Point (Bronx, NY)', 'Midwood (Brooklyn, NY)']",0.0074614577834971095
1548,Some scientists hope genomic technologies will lead to improved antivenom.,"Scientists have sequenced the genome of one of the deadliest snakes in the world, the Indian cobra, and have taken a big step toward developing new and better treatments for their bites.",Venomous Research: Fighting Cobra Bites By Getting a Grip On Its Genome,"['Snakes', 'Genetic Engineering', 'Hazardous and Toxic Substances', 'Deaths (Fatalities)', 'Research', 'Nature Genetics (Journal)', 'Seshagiri, Somasekar', 'your-feed-science']",-0.4804807294727485
1549,"Scientists knew a meteorite impact had flung debris all over the world, but where it struck has remained a mystery.","Earth has had many run-ins with space rocks. They’ve triggered the demise of the dinosaurs 66 million years ago, lit up daytime skies over Russia in thousands of dash cam videos and even struck a human.","An Awol Crater: To Find Hole Meteor  Left Behind, Scientists  Just Kept Digging","['Meteors and Meteorites', 'Laos', 'Geology', 'Volcanoes', 'Proceedings of the National Academy of Sciences', 'Sieh, Kerry', 'Research', 'your-feed-science']",-0.01570374258373604
1551,"A documentary seeks to find out what people think of Jews, the Holocaust and history.","“I wonder if any of us have learned from the past,” Ofra Bloch, the director of “Afterward,” says upon hearing the agonizing story of Abir Aramin,  a 10-year-old Palestinian girl who was shot and killed by Israeli forces in 2007.",Where ‘What Do You Think?’ Is Loaded,"['Documentary Films and Programs', 'Afterward (Movie)', 'Bloch, Ofra', 'Israel', 'Palestinians', 'War Crimes, Genocide and Crimes Against Humanity', 'Jews and Judaism']",-0.12415698903513456
1552,The Fox News host’s antiwar stance doesn’t erase all that other ugliness.,"Suddenly you’re digging him. At least a little bit. I know, I’ve seen the tweets, read the commentary, heard the chatter, detected the barely suppressed cheer: Hurrah for Tucker Carlson. If only we had more brave, principled Republicans like him.",Tucker Carlson Is Not Your New Best Friend,"['Tucker Carlson Tonight (TV Program)', 'Fox News Channel', 'News and News Media', 'Television', 'Iran', 'Suleimani, Qassim', 'Targeted Killings', 'Trump, Donald J', 'United States Politics and Government', 'United States Defense and Military Forces', 'United States International Relations']",0.7320948749712637
1553,Why did the president target Qassim Suleimani? Because he’s obsessed with Jimmy Carter.,"If you’re Donald Trump, it’s always 1979. Your tan is lurid, last night’s glitter sticks to your shoe, and, still a young man, you thrill to the promise of future divorces. At the first hint of trouble, Roy Cohn is at your fingertips — and you at his. New York City, at least the parts you deserve to own (The Plaza, Studio 54, 21 Club), is a bachelor’s playpen. The rest of it? Ungovernable hellscape. The climate is doing just fine, thank you. And the president of the United States? Weak; pathetically weak.",Donald Trump Is a Hostage to 1979,"['United States International Relations', 'United States Politics and Government', 'Kidnapping and Hostages', 'CADDELL, PATRICK', 'Carter, Jimmy', 'Lasch, Christopher', 'Suleimani, Qassim', 'Trump, Donald J', 'Iran', 'United States', 'Targeted Killings']",0.012973166948619727
1555,"“Tightrope,” by the Pulitzer Prize-winning authors Nicholas Kristof and Sheryl WuDunn, is a wrenching portrait of rural Yamhill, Ore., Kristof’s hometown and a microcosm for America.",TIGHTROPE Americans Reaching for HopeBy Nicholas D. Kristof and Sheryl WuDunn,Hard Times,"['Books and Literature', 'Kristof, Nicholas D', 'Wudunn, Sheryl', 'Tightrope: Americans Reaching for Hope (Book)', 'Poverty']",0.03072798081739496
1556,Ukrainian officials suggest Iran would not have admitted responsibility if investigators from Ukraine had not found missile debris in the crash wreckage.,"KYIV, Ukraine — Iran’s stunning admission that its forces errantly downed a Ukrainian jetliner — reversing three days of denial — did little to quell growing fury inside the country and beyond on Saturday as the deadly tragedy turned into a volatile political crisis for Tehran’s leaders and overshadowed their struggle with the United States.", Iran’s Admission It Shot Down Jet Meets With Fury    ,"['Iran', 'Ukraine International Airlines Flight 752', 'Defense and Military Forces', 'United States International Relations', 'Politics and Government', 'Aviation Accidents, Safety and Disasters', 'AIRLINES AND AIRPLANES', 'Deaths (Fatalities)', 'Missiles and Missile Defense Systems', 'Islamic Revolutionary Guards Corps', 'Rouhani, Hassan', 'Suleimani, Qassim', 'Targeted Killings']",0.06719281487356701
1557,"In his new book, the writer sought to create “something that was 100 percent pornographic and 100 percent high art.”","Reading Garth Greenwell’s new book, “Cleanness,” you might sense a bit of déjà vu.",A Shift From Music to Lyrical Prose,"['Books and Literature', 'Farrar, Straus & Giroux', 'Greenwell, Garth (1978- )', 'Cleanness (Book)', 'Homosexuality and Bisexuality', 'Writing and Writers', 'Classical Music', 'What Belongs to You (Book)', 'Bulgaria']",0.5744986326199649
1558,"More and more, new recruits come from the same small number of counties and are the children of old recruits.","COLORADO SPRINGS — The sergeant in charge of one of the busiest Army recruiting centers in Colorado, Sgt. First Class Dustin Comes, joined the Army, in part, because his father served. Now two of his four children say they want to serve, too. And he will not be surprised if the other two make the same decision once they are a little older.",The Call to Serve Is Being Unevenly Embraced,"['Draft and Recruitment (Military)', 'United States Army', 'United States Defense and Military Forces', 'Colorado']",0.514195507865705
1559,"The Duke and Duchess of Sussex want to be “financially independent.” What does that mean? Also, can you quit being a “senior” royal? Some questions answered.",The Duke and Duchess of Sussex made a big and hasty announcement this week that caught the world by surprise — even as it was months in the making. Here’s what we know so far. ,A Guide To Grasping A ‘Step Back’,"['Royal Families', 'Politics and Government', 'Income Inequality', 'Harry, Duke of Sussex', 'Markle, Meghan', 'Great Britain', 'North America']",0.09943503583831793
1561,He worked with Peter Lynch on several guides to stock trading. He also wrote a guidebook that offered no advice at all.,"John Rothchild, a prolific journalist who used humor to turn books about personal finance into engaging reads, including several in collaboration with the successful investor Peter Lynch and one titled “A Fool and His Money,” died on Dec. 27 at a care facility in Virginia Beach. He was 74.","John Rothchild, 74, Author  Who Used a Wealth of Wit  To Tackle Personal Finance","['Rothchild, John', 'Deaths (Obituaries)', 'Books and Literature', 'Writing and Writers', 'Personal Finances', 'Lynch, Peter']",0.43601662329770374
1562,2020 is shaping up to be a nearly nonstop year of reporting for The Times’s Guantánamo war-court reporter.,You’re reading this week’s At War newsletter. Sign up here to get it delivered to your inbox every Friday. Email us at atwar@nytimes.com.,Covering Guantánamo’s War Court,"['United States Defense and Military Forces', 'Interrogations', 'Torture', 'Military Tribunals', 'September 11 (2001)', 'Guantanamo Bay Naval Base (Cuba)']",-0.33115045795296444
1563,"Corrections that appeared in print on Friday, Jan. 10, 2020.","An article on Thursday about a decision by the Duke and Duchess of Sussex to withdraw from royal duties misidentified the place in Canada where Prince Harry and his wife, Meghan, spent the holidays. It is Vancouver Island, not Vancouver. The article also referred incorrectly to the son of Prince Harry and Meghan. He is Master Archie Mountbatten-Windsor —  or Archie — not Prince Archie.",Corrections,[],0.5274220190070994
1564,Is it the next Pilates? Can it make you taller? Our columnist booked a session.,"Resolving to get in shape in the new year is an exhausting cliché, as is the fact that no one sticks to the resolve. There are people who are so motivated to exercise that they keep up their jogging or weight lifting routines year-round. And then there is everyone else, a group I fall into.",A Stretch and a Status Symbol,"['Exercise', 'TriBeCa (Manhattan, NY)', 'Outer Reach']",0.00548447657113766
1566,"It’s a great weekend for new literary adaptations, one of Jane Austen, another of Stephen King. Also: a heartfelt new documentary series.","No matter how much free time you have this weekend, we have TV recommendations for you. Come back every week for new suggestions on what to watch.",This Weekend I Have …,"['Television', 'Netflix Inc', 'Home Box Office', 'Public Broadcasting Service', 'Sanditon (TV Program)', 'The Outsider (TV Program)', 'Cheer (TV Program)']",0.04063950495049506
1567,The bipartisan proposal announced Thursday must still pass the Legislature. The state’s past expansion efforts have stalled.,"Kansas’ Democratic governor said on Thursday that she had reached a deal with Republicans who control the Legislature to expand Medicaid under the Affordable Care Act. If lawmakers approve the plan in the coming weeks, it would end years of wrangling over the issue in a state that has endured a series of rural hospital closures. ",Officials Make Deal in Kansas For Expansion Of Medicare,"['State Legislatures', 'Medicaid', 'Kelly, Laura (1950- )', 'Kansas']",0.27424906707833785
1568,"The number of original series continued to swell in 2019, with Apple and Disney adding to the glut. When will the bubble pop?","It has been on a steep upward trajectory for years, and in 2019, it finally happened.",It’s Not an Illusion:  Peak TV Is Showing  No Signs of Slowing,"['Television', 'Web-Original Programming', 'FX (TV Network)', 'Video Recordings, Downloads and Streaming', 'Netflix Inc', 'Disney Plus', 'Landgraf, John', 'Home Box Office']",0.09004395885569111
1570,"A day after President Trump seemed eager to de-escalate tensions, Iranian officials vowed revenge for the killing of a top general but also noted their missile strikes had not been intended to kill.","A day after President Trump backed away from further military conflict with Iran, a commander of the country’s Islamic Revolutionary Guards Corps declared that Iran would soon take “harsher revenge” on the United States for a drone strike last week that killed a top Iranian general. But another Iranian military leader said his country’s missile attacks targeting Americans in Iraq this week had not been intended to kill anyone. ",Iran Offers Mixed Message In Stance Toward America,"['Iran', 'United States International Relations', 'Defense and Military Forces', 'Suleimani, Qassim', 'Islamic Revolutionary Guards Corps', 'Trump, Donald J', 'Deaths (Fatalities)']",0.08331835740494953
